accident_id	accident_time	deaths	injured	county	municipality	settlement	involving_motorvehicle_driver	accident_type	accident_type_detailed	accident_scenario	road_type	road_type_detail	road_width	speed_limit	road_condition	road_surface_condition	weather	lighting	join_distance	x_coord	y_coord				
2101230168494	2023-11-22 08:10:00	0	1	Lääne-Viru maakond	Rakvere linn	Rakvere linn	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	7	50	Sõidutee on libe	Lumelörts, soolalumine segu	Pilvised olud	Valge aeg	0.9664309155	6582241	634336				
2101250158364	2025-09-06 19:14:00	0	1	Harju maakond	Tallinn	Nõmme linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt paremalt poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	9	30	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	1.139858957	6583370.954	539244.7831				
3100220195149	2022-04-14 13:45:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Tagurdava sõiduki konflikt jalakäijaga.	KOV tee/tänav	Tänav	6	50	Sõidutee on korras	Märg	Vihmasadu	Valge aeg	2.102553868	6588143	543047				
3100180346205	2018-07-02 18:07:00	0	1	Harju maakond	Keila linn	Keila linn	TRUE	Ühesõidukiõnnetus	Sõiduki ümberpaiskumine teel	Muu liikluskonflikt.	KOV tee/tänav	Tänav	8	20	Sõidutee on korras	Märg	Pilvised olud	Valge aeg	3.85453037	6573769	523122				
2101250096480	2025-06-14 11:26:00	0	1	Tartu maakond	Tartu linn	Tartu linn	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt vasakult poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	6	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.8399414583	6473959.5	661149.5896				
3100180274372	2018-06-02 02:05:00	0	1	Tartu maakond	Tartu linn	Tartu linn	TRUE	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	Sõiduk sõidab T-kujulisel või ringristmikul otse.	KOV tee/tänav	Tänav	7	50	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	0.2703407593	6473081	658290				
2101250126219	2025-07-25 00:13:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Kokkupõrge	Sõidukite külgkokkupõrge	Konflikt samas suunas otse sõitvate sõidukite vahel teelõigul või ristmiku peateel.	KOV tee/tänav	Tänav	11	50	Sõidutee on korras	Kuiv	Selged olud	Pimeda aeg	0.0003686953836	6589382.614	542901.3018				
2101230055390	2023-06-14 12:41:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Kokkupõrge	Kokkupõrge ees liikuva sõidukiga		KOV tee/tänav	Tänav	9	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	0.8958711291	6588000	541722				
2300190004423	2019-05-22 17:20:00	0	1	Harju maakond	Tallinn	Mustamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	7	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	2.102632016	6585020	538094				
3100190052704	2019-01-30 13:54:00	0	1	Harju maakond	Tallinn	Mustamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku vasakult poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	18	50	Sõidutee on korras	Lumelörts, soolalumine segu	Pilvised olud	Valge aeg	0.9707620569	6585887	538940				
3100180493048	2018-08-31 11:35:00	0	6	Harju maakond	Tallinn	Nõmme linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Möödasõitu sooritav sõiduk kaotab juhitavuse ja paiskub teelt välja.	KOV tee/tänav	Tänav	8	50	Sõidutee on korras	Kuiv	Pilvised olud	Valge aeg	2.186100321	6583502	541738				
3100220316711	2022-06-09 09:41:00	0	1	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Ühesõidukiõnnetus	Kokkupõrge teevälise takistusega	Sõiduki konflikt alalise objektiga teel (nt. ohutussaar, liiklusmärk vms.).	KOV tee/tänav	Tänav	11	50	Sõidutee on korras	Kuiv	Selged olud	Valge aeg	2.444308009	6585283	541610				
2300190000783	2019-01-24 01:52:00	0	2	Harju maakond	Tallinn	Kesklinna linnaosa	TRUE	Kokkupõrge	Kokkupõrge sõidukiga küljelt	Ristmiku peateel otse sõitva sõiduki konflikt paremalt poolt kõrvalteelt tuleva sõidukiga.	KOV tee/tänav	Tänav	7	50	Sõidutee on korras	Pori, saaste	Lumised olud	Pimeda aeg	0.4347540113	6588427	541848				
3100190050246	2019-01-28 19:20:00	0	1	Harju maakond	Tallinn	Lasnamäe linnaosa	TRUE	Jalakäijaõnnetus	Kokkupõrge jalakäijaga	Sõiduki konflikt teelõiku paremalt poolt ületava jalakäijaga.	KOV tee/tänav	Tänav	13	50	Sõidutee on libe	Lumelörts, soolalumine segu	Lumised olud	Pimeda aeg	6.379695762	6588625	548547				
